company_name,permit_count,url_slug
Ericsson Ab,1290,ericsson
Tata Consultancy Services Sverige Aktiebolag,1117,tata-consultancy-services-sverige
H & M Hennes & Mauritz Gbc Ab,444,h-&-m-hennes-&-mauritz-gbc
Klarna Bank Ab,299,klarna-bank
Swedbank Ab,176,swedbank
Capgemini Sverige Ab,176,capgemini-sverige
Spotify Ab,150,spotify
"Nordea Bank Abp, Filial I Sverige",134,nordea-bank-p-filial-i-sverige
Aktiebolaget Electrolux,116,aktiebolaget-electrolux
Skandinaviska Enskilda Banken Ab,111,skandinaviska-enskilda-banken
Volvo Personvagnar Aktiebolag,106,volvo-personvagnar
Midasplayer Ab,93,midasplayer
Kindred People Ab,91,kindred-people
Ea Digital Illusions Ce Ab,83,ea-digital-illusions-ce
Northvolt Ett Ab,77,northvolt-ett
Accenture Ab,76,accenture
Electrolux It Solutions Aktiebolag,74,electrolux-it-solutions
Broadridge Trading And Connectivity Solutions Ab,69,broadridge-trading-and-connectivity-solutions
Alten Sverige Aktiebolag,68,alten-sverige
Gears Of Leo Ab,66,gears-of-leo
True Software Scandinavia Ab,59,true-software-scandinavia
Mw Field Service Ab,59,mw-field-service
"Ltimindtree Sverige, Filial Till Ltimindtree Lim",58,ltimindtree-sverige-filial-till-ltimindtree-lim
Fatalist Development Ab,58,fatalist-development
Paradox Development Studio Ab,58,paradox-development-studio
Cognizant Technology Solutions Sweden Ab,50,cognizant-technology-solutions-sweden
Atlas Copco Industrial Technique Aktiebolag,49,atlas-copco-industrial-technique
Hcl Technologies Sweden Ab,48,hcl-technologies-sweden
Cgi Sverige Ab,47,cgi-sverige
Epidemic Sound Ab,47,epidemic-sound
Viaplay Group Sweden Ab,43,viaplay-group-sweden
Kambi Sweden Ab,41,kambi-sweden
"Paypal Limited, Filial Sweden",40,paypal-limited-filial-sweden
Mentimeter Ab (Publ),39,mentimeter-publ
"Wipro Sweden Filial Till Wipro Ltd, Indien",39,wipro-sweden-filial-till-wipro-ltd-indien
Postnord Group Ab,38,postnord-group
Sogeti Sverige Ab,37,sogeti-sverige
Tele2 Sverige Aktiebolag,35,tele2-sverige
Embark Studios Ab,32,embark-studios
Capgemini Engineering Sverige Ab,31,capgemini-engineering-sverige
Rovio Sweden Ab,31,rovio-sweden
Hyper Core Ab,31,hyper-core
Åf Digital Solutions Ab,30,af-digital-solutions
"Amazon Web Services Emea Sarl, Sverige Filial",29,amazon-web-services-emea-sarl-sverige
Vattenfall Ab,29,vattenfall
Länsförsäkringar Ab (Publ),29,lansforsakringar-publ
Tink Ab,28,tink
L&T Technology Services Sverige Filial,28,l&t-technology-services-sverige
Hi3g Access Ab,27,hi3g-access
Nasdaq Technology Ab,27,nasdaq-technology
Knowit Connectivity Ab,27,knowit-connectivity
Oneflow Ab,24,oneflow
Netlight Consulting Ab,24,netlight-consulting
Knightec Aktiebolag,23,knightec
Snow Software Ab,22,snow-software
Rebtel Networks Ab,22,rebtel-networks
Come On Stockholm Ab,22,come-on-stockholm
Resolution Games Ab,22,resolution-games
Dek Technologies Sweden Ab,21,dek-technologies-sweden
Paradox Interactive Ab (Publ),21,paradox-interactive-publ
Giesecke+devrient Mobile Security Sweden Ab,21,giesecke+devrient-mobile-security-sweden
Majority Sweden Ab,20,majority-sweden
Ica Sverige Ab,20,ica-sverige
Telenor Sverige Aktiebolag,19,telenor-sverige
Platform 24 Healthcare Ab,19,platform-24-healthcare
Tieto Sweden Ab,19,tieto-sweden
Qliro Ab,19,qliro
Sinch Sweden Ab,19,sinch-sweden
Blocket Ab,18,blocket
Telia Sverige Ab,18,telia-sverige
If Skadeförsäkring Ab (Publ),18,if-skadeforsakring-publ
Google Sweden Ab,18,google-sweden
Digital Route Ab,17,digital-route
Voi Technology Ab,17,voi-technology
10 Chambers Ab,17,10-chambers
Tobii Ab,17,tobii
Tradedoubler Aktiebolag,16,tradedoubler
Soltia Ab,16,soltia
"Larsen & Toubro Infotech Sverige, Fi Lial T Lars",16,larsen-&-toubro-infotech-sverige-fi-lial-t-lars
Arrowhead Game Studios Ab,16,arrowhead-game-studios
Scania Cv Ab,15,scania-cv
Betsson Technologies Ab,15,betsson-technologies
Aktiebolaget Trav Och Galopp,15,aktiebolaget-trav-och-galopp
Fnz (Europe) Designated Activity Company Filial,15,fnz-europe-designated-activity-company
Btr Personnel Services Ab,15,btr-personnel-services
Evolution Services Sweden Ab,15,evolution-services-sweden
Arelion Sweden Ab,14,arelion-sweden
Fluido Sweden Ab,14,fluido-sweden
Anyfin Ab,14,anyfin
Lendo Ab,14,lendo
Infor (Sweden) Ab,14,infor-sweden
K Two Technology Consulting Ab,14,k-two-technology-consulting
Swedq Ab,14,swedq
Svea Bank Ab,14,svea-bank
Hexaware Technologies Nordic Ab,13,hexaware-technologies-nordic
Avanade Sweden Ab,13,avanade-sweden
Instabox Group Ab,13,instabox-group
Fastdev Ab,12,fastdev
Trustly Group Ab,12,trustly-group
Tietoevry Tech Services Ab,12,tietoevry-tech-services
Apsis International Ab,12,apsis-international
Storytel Sweden Ab,12,storytel-sweden
Cepheid Ab,12,cepheid
Normative Ab,12,normative
Accedo Broadband Ab,12,accedo-broadband
Dassault Systemes Ab,12,dassault-systemes
Tobii Dynavox Ab,11,tobii-dynavox
Hemnet Ab,11,hemnet
Umain Ab,11,umain
Daresay Ab,11,daresay
Arbetsförmedlingen,11,arbetsformedlingen
Toca Boca Ab,11,toca-boca
Epiroc Rock Drills Aktiebolag,11,epiroc-rock-drills
Discovery Networks Sweden Ab,11,discovery-networks-sweden
Einride Ab,11,einride
Elekta Instrument Ab,11,elekta-instrument
Tech Mahindra Limited Indien Filial,11,tech-mahindra-limited-indien
Seb Pension Och Försäkring Ab,10,seb-pension-och-forsakring
Ibm Client Innovation Center Sweden Ab,10,ibm-client-innovation-center-sweden
Ubisoft Entertainment Sweden Ab,10,ubisoft-entertainment-sweden
Blueberry Innovations Sweden Ab,10,blueberry-innovations-sweden
Oracle Svenska Aktiebolag,10,oracle-svenska
Alva Labs Ab,10,alva-labs
Fujitsu Sweden Ab,10,fujitsu-sweden
